8 27
0 2 31
1 0 88
1 3 65
1 6 67
2 1 83
2 4 88
2 6 37
3 0 88
3 2 16
3 5 26
3 7 -14
4 0 -13
4 1 116
4 3 110
4 6 18
4 7 46
5 0 93
5 1 29
5 2 14
5 4 -4
6 0 44
6 3 -2
6 5 97
7 0 42
7 2 16
7 5 21
7 6 112

9 7
1 4 110
3 6 85
3 8 56
5 0 39
6 5 62
7 5 6
8 4 66

10 43
0 1 -24
1 3 9
1 4 88
1 5 99
1 8 17
2 0 116
2 1 -15
2 3 34
2 6 -4
2 7 63
2 9 109
3 0 -9
3 5 -12
3 7 -6
3 8 112
4 0 -29
4 6 63
4 8 44
4 9 86
5 0 51
5 2 59
5 4 90
5 6 113
5 7 76
6 0 111
6 1 40
6 3 -20
6 7 -11
6 8 53
6 9 93
7 0 42
7 1 112
7 4 -27
8 0 96
8 2 78
8 5 -22
8 7 80
8 9 26
9 0 111
9 1 23
9 3 -2
9 5 46
9 7 78

15 83
0 1 91
0 2 55
0 7 104
0 10 51
0 12 118
0 14 117
1 5 119
1 6 24
1 8 42
1 10 -11
1 12 101
2 4 60
2 5 38
2 11 47
2 14 -20
3 0 87
3 1 103
3 2 108
3 4 -23
3 6 -19
3 7 26
3 9 26
4 0 23
4 1 9
4 5 30
4 9 108
5 0 -12
5 3 34
5 8 27
5 10 75
5 11 49
6 2 86
6 4 44
6 8 18
6 9 -17
6 12 32
6 13 31
7 1 48
7 2 55
7 4 73
7 5 -14
7 8 110
7 13 103
8 2 18
8 4 10
8 11 49
8 13 43
8 14 10
9 0 72
9 2 61
9 7 18
9 8 -20
9 14 28
10 2 50
10 3 -28
10 6 9
10 7 0
10 8 -16
10 9 23
11 0 6
11 4 105
11 7 26
11 9 -28
11 10 38
12 2 13
12 3 14
12 4 102
12 7 12
12 8 96
12 9 84
12 10 21
13 1 81
13 2 114
13 4 -15
13 9 50
13 10 110
13 12 28
14 5 59
14 6 98
14 7 47
14 10 11
14 12 101
14 13 47

9 18
1 2 12
1 7 10
1 8 41
2 0 27
2 3 -2
2 8 97
3 0 111
3 1 73
3 7 -16
4 5 -22
4 8 66
6 2 11
6 7 -2
6 8 118
7 0 35
7 2 24
7 4 -18
8 3 71

6 13
0 2 90
0 4 -1
0 5 21
1 0 -18
1 3 -28
1 4 -25
1 5 105
2 1 11
2 5 -17
3 2 -11
4 2 54
4 3 91
5 3 27

6 13
0 1 80
0 2 98
0 3 42
2 4 81
3 1 95
3 2 20
3 4 10
3 5 94
4 0 57
4 1 25
5 0 112
5 1 -7
5 4 6

13 64
0 1 -2
0 2 4
0 4 21
0 6 -25
0 7 32
0 10 70
0 12 69
1 5 17
1 9 56
1 10 110
2 1 -19
2 3 13
2 10 49
2 11 17
2 12 -6
3 0 111
3 1 30
3 5 71
3 6 50
3 9 25
3 11 -1
4 1 3
4 7 -24
4 10 115
4 11 32
5 0 80
5 2 -24
5 4 13
5 6 -1
5 8 104
5 9 60
5 12 76
6 2 29
6 4 26
6 7 58
6 11 59
6 12 11
7 1 24
7 2 14
7 3 8
7 5 15
7 9 6
7 10 103
8 0 -5
8 2 31
8 3 119
8 10 75
8 11 47
8 12 -11
9 0 43
9 2 38
9 4 -22
9 8 9
9 12 44
10 5 95
10 6 40
11 1 98
11 5 -13
11 9 23
11 12 7
12 1 90
12 3 21
12 7 16
12 10 109

15 56
0 6 -27
0 7 -7
0 12 95
0 14 -7
1 3 102
1 5 66
1 7 -12
1 8 71
1 11 17
1 12 9
2 0 5
2 3 71
2 5 84
2 8 -19
2 9 35
2 11 20
3 0 45
3 4 -4
3 8 -10
3 12 -1
4 0 59
4 2 10
4 8 76
4 9 -27
4 12 -13
4 13 75
5 6 -10
5 8 113
5 11 88
5 12 0
6 7 10
6 8 59
6 14 -6
7 2 59
7 4 5
9 0 108
10 3 108
10 5 65
10 13 49
11 3 100
11 6 40
11 7 25
11 9 96
11 10 24
11 12 -26
12 9 27
13 1 17
13 5 105
13 6 -5
13 9 28
13 12 -18
14 3 106
14 4 -12
14 10 22
14 11 17
14 12 61

5 6
0 3 35
1 2 82
1 3 27
2 0 -17
3 2 47
4 3 60

